resident_id,time,x,y,z,energy,activity,memory
fern,1003.9999999991594,5.415043484912161,0.5605551610667838,0.054197944086682395,0.0,0.02207816019654274,8.0
fern,1004.499999999159,5.414824199410086,0.5599220629581522,0.05443215851634898,0.0,0.022139031440019608,8.0
fern,1004.9999999991585,5.415292034208807,0.5611653424443392,0.05409767656809077,0.0,0.0220954492688179,8.0
fern,1005.499999999158,5.414814236352755,0.5600020477757679,0.05424524891108952,0.0,0.02204705774784088,8.0
fern,1005.9999999991576,5.415216943771142,0.5613020780820113,0.054477777754753695,0.0,0.02220267802476883,8.0
fern,1006.4999999991571,5.415312791819777,0.5637505352625242,0.05452478661688885,0.0,0.02237304113805294,8.0
fern,1006.9999999991567,5.415923203509942,0.5631458307836575,0.054349063901623355,0.0,0.022338058799505234,8.0
fern,1007.4999999991562,5.41520563647664,0.5725777673637862,0.05547910102005962,0.0,0.022174101322889328,8.0
fern,1007.9999999991558,5.41464064464662,0.5788289336817211,0.05581533524591792,0.0,0.021896662190556526,8.0
fern,1008.4999999991553,5.413979470584755,0.578695227544974,0.054429850898826314,0.0,0.021788988262414932,8.0
fern,1008.9999999991549,5.413562810377557,0.5800753614696375,0.054568671125469065,0.0,0.0218757726252079,8.0
fern,1009.4999999991544,5.413639585348854,0.5784946450893987,0.05448058457678796,0.0,0.021881060674786568,8.0
fern,1009.9999999991539,5.41354487861299,0.5785481343752259,0.0543161156643821,0.0,0.02195047028362751,8.0
fern,1010.4999999991535,5.413838471975424,0.578800762991523,0.054546638579431345,0.0,0.02221040613949299,8.0
fern,1010.999999999153,5.413666101005335,0.5793747561964807,0.054535999692678576,0.0,0.022263217717409134,8.0
fern,1011.4999999991526,5.4135824363449805,0.5769729201641441,0.05475699818109718,0.0,0.021921241655945778,8.0
fern,1011.9999999991521,5.413749618421229,0.5753572199746526,0.05519114700640037,0.0,0.021849874407052994,8.0
fern,1012.4999999991517,5.413016657274472,0.5752396024660916,0.05448392946300626,0.0,0.021793261170387268,8.0
fern,1012.9999999991512,5.413467206433564,0.5746754453019378,0.05796783953850625,0.0,0.02157212793827057,8.0
fern,1013.4999999991508,5.411433065595029,0.5780840524207631,0.05374394300453363,0.0,0.021474776789546013,8.0
fern,1013.9999999991503,5.402950032826907,0.5911251079174406,0.06578895350636953,0.0,0.021817119792103767,8.0
fern,1014.4999999991498,5.384679852550161,0.6175875988947142,0.051652529116900874,0.0,0.021419603377580643,8.0
fern,1014.9999999991494,5.380506933024858,0.6253489249680844,0.054451999756000735,0.0,0.021237017586827278,8.0
fern,1015.4999999991489,5.381621796488809,0.6236984847321697,0.05476933144167978,0.0,0.022217456251382828,8.0
fern,1015.9999999991485,5.3830128725417765,0.6227862713964579,0.054604315787050176,0.0,0.02232150174677372,8.0
fern,1016.499999999148,5.392067919400897,0.6107910041603,0.055441687101038646,0.0,0.021803943440318108,8.0
fern,1016.9999999991476,5.394222375917212,0.6036037365919793,0.05635041638777181,0.0,0.021967874839901924,8.0
fern,1017.4999999991471,5.395730371956993,0.5974763344143367,0.055156501619465184,0.0,0.02188418060541153,8.0
fern,1017.9999999991467,5.397385878377829,0.5926160604588442,0.06141242444513189,0.0,0.021879026666283607,8.0
fern,1018.4999999991462,5.3953850910010015,0.5980688908262133,0.05372307833542419,0.0,0.021828634664416313,8.0
fern,1018.9999999991458,5.396152334099747,0.5968020059230056,0.05464526256005056,0.0,0.02187180519104004,8.0
fern,1019.4999999991453,5.397004735399409,0.5952538293613256,0.054375455703963,0.0,0.021780939772725105,8.0
fern,1019.9999999991448,5.396301274857649,0.5970169409991596,0.054173510659761455,0.0,0.021730544045567513,8.0
fern,1020.4999999991444,5.393929359751907,0.6018792053660231,0.05564213226518534,0.0,0.021820690482854843,8.0
fern,1020.9999999991439,5.393065605717024,0.5989778242519186,0.054843222396643986,0.0,0.022124720737338066,8.0
